"(PDH-CSV 4.0) (Hora est. Pacífico, Sudamérica)(300)","\\JAMANRIQUE\Interfaz de red(Realtek PCIe GBE Family Controller)\Total de bytes/s","\\JAMANRIQUE\Procesador(_Total)\% de tiempo de procesador","\\JAMANRIQUE\Memoria\% de bytes confirmados en uso"
"05/01/2018 15:46:45.008"," "," ","45.463018060071164"
"05/01/2018 15:46:46.017","1371.103542952229","3.1920974440746708","45.501538097276715"
"05/01/2018 15:46:47.007","705.21522862357949","3.8006364738001674","45.499953684746274"
"05/01/2018 15:46:48.012","3640.9887101254449","2.4092396955111228","45.487109931532089"
"05/01/2018 15:46:49.017","3289.7905243250293","6.1262100552768706","45.506089028321696"
"05/01/2018 15:46:50.006","1465.2817402577261","9.5057084170983472","45.562183564892543"
"05/01/2018 15:46:51.011","1016.9048074088464","4.0941232940406636","45.548261060739932"
"05/01/2018 15:46:52.016","2948.315246677224","1.8556251105125154","45.525259162654464"
"05/01/2018 15:46:53.006","1911.7147825127263","3.3987937462987228","45.47924412076344"
"05/01/2018 15:46:54.011","2595.3708238404142","2.2330162014512211","45.464006891814996"
"05/01/2018 15:46:55.016","747.89467435116558","5.2083139606062367","45.469715247272916"
"05/01/2018 15:46:56.006","1064.783572430337","3.9096457189477851","45.53824899381452"
"05/01/2018 15:46:57.011","1613.3792054930486","3.3860072107422257","45.512707565331993"
"05/01/2018 15:46:58.016","3303.9418356130509","3.3990642865381449","45.50989832391727"
"05/01/2018 15:46:59.005","4864.5206039707145","6.647349312002393","45.533731776646739"
"05/01/2018 15:47:00.010","3050.985494565693","3.5024072986281185","45.530461833237311"
"05/01/2018 15:47:01.015","1051.8654964467314","4.0817733942106527","45.516550574804789"
"05/01/2018 15:47:02.005","1849.828046574168","0.15520034301276242","45.525101838988505"
"05/01/2018 15:47:03.010","3162.4559247588936","3.0165386751406786","45.50923536194238"
"05/01/2018 15:47:04.015","2781.4290007782643","3.4977598199815163","45.497773737995367"
"05/01/2018 15:47:05.005","1093.1270359869777","2.325455696450629","45.48305341635902"
"05/01/2018 15:47:06.009","694.62920138580353","1.6500670440185772","45.494571222340355"
"05/01/2018 15:47:07.014","674.67756694699938","3.1131803131739022","45.52007896022873"
"05/01/2018 15:47:08.004","3142.6286717721409","1.9423375914419894","45.485109776604247"
"05/01/2018 15:47:09.009","2479.9123339726511","2.3322157552339795","45.476288824685916"
"05/01/2018 15:47:10.014","1558.3315664607053","3.2108532903370013","45.476097787142756"
"05/01/2018 15:47:11.019","936.44017687206463","1.8449791947735994","45.475760671653731"
"05/01/2018 15:47:12.009","1831.6606395871561","2.8184362009203157","45.475457293324979"
"05/01/2018 15:47:13.014","2868.0283981656303","3.108831905656495","45.473738048568777"
"05/01/2018 15:47:14.018","2436.3137814626371","2.2266724376596936","45.474468438298082"
"05/01/2018 15:47:15.008","2028.3996705363384","1.2529913338444776","45.472928985364952"
"05/01/2018 15:47:16.013","252.76115068619711","2.8204448717705","45.471513142220559"
"05/01/2018 15:47:17.018","813.98952816984274","2.6278227032672796","45.470580469227997"
"05/01/2018 15:47:18.008","2288.1544902178116","1.3445877154646846","45.470232131301948"
"05/01/2018 15:47:19.013","3604.5477303811813","2.4265075559415927","45.470434391282133"
"05/01/2018 15:47:20.018","1568.381044515811","2.9129907301265523","45.470782729208189"
"05/01/2018 15:47:21.008","823.36060006675996","0.45413088166774696","45.48406473954303"
"05/01/2018 15:47:22.012","864.82831559812939","2.520785779286594","45.480513885961962"
"05/01/2018 15:47:23.017","2657.0857533394114","2.2324618442385868","45.48003069252708"
"05/01/2018 15:47:24.007","2025.5518972766313","0.65292966208609915","45.475277501501907"
"05/01/2018 15:47:25.012","2947.4539465228554","2.82216619361223","45.479098042817576"
"05/01/2018 15:47:26.017","1620.043810754107","3.4047935230568482","45.485345750461647"
"05/01/2018 15:47:27.007","1274.9334454447296","1.3432322555969156","45.483851233842749"
"05/01/2018 15:47:28.012","815.02803261880615","2.9125366247746198","45.483851233842749"
"05/01/2018 15:47:29.018","3146.7075523692556","3.0020556487232453","45.482233130718171"
"05/01/2018 15:47:30.008","2079.645344370861","0.42867087775518842","45.48104201571109"
"05/01/2018 15:47:31.013","4360.7956775182529","2.9128941123223284","45.484255753803126"
"05/01/2018 15:47:32.018","2249.9191000806486","2.4334498828815887","45.484222063208982"
"05/01/2018 15:47:33.008","9665.2837595716701","4.0929536383640048","45.485514296564631"
"05/01/2018 15:47:34.012","24485.838893886968","7.7549390874251722","45.487323437232369"
"05/01/2018 15:47:35.017","28710.276440928439","12.224854086479386","45.490368629221422"
"05/01/2018 15:47:36.007","20346.610040531716","7.7452079508268596","45.508089206532595"
"05/01/2018 15:47:37.011","17405.415762837954","11.640194418481498","45.496548909111077"
"05/01/2018 15:47:38.016","23324.894834829531","12.798635321916018","45.503695575870502"
"05/01/2018 15:47:39.006","20265.258094842957","11.111429895409675","45.501740357256899"
"05/01/2018 15:47:40.011","28950.245501435529","7.1962571903911421","45.499155867262544"
"05/01/2018 15:47:41.015","16337.604921533366","7.5547958111774838","45.499672774574648"
"05/01/2018 15:47:42.005","17536.901776713552","4.1716522408404177","45.502437033109004"
"05/01/2018 15:47:43.009","12090.771159636017","9.1064381819734752","45.503347237944453"
"05/01/2018 15:47:44.014","6808.0892543950849","2.022065501763981","45.501448201365172"
"05/01/2018 15:47:45.019","6585.2581696611505","1.6608713173743572","45.499414332560129"
"05/01/2018 15:47:46.009","10589.27445360946","4.6988210694375869","45.496526440953957"
